CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,Total Charges2,Total Charges Clean,Tenure Years,newly onboard,Monthly Charges Avg,Latest Monthly Charges (%)
3192-NQECA,1,United States,California,Santa Monica,90403,"34.031529, -118.491156",34.031529,-118.491156,Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,1,86,5034,Lack of affordable download/upload speed,7611.85,7611.85,5,0,2537.2833333333333,-95.66465445325382
0486-HECZI,1,United States,California,Torrance,90504,"33.867257, -118.330794",33.867257,-118.330794,Male,No,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,1,75,5154,Long distance charges,5238.9,5238.9,4,0,1746.3,-94.45971482563134
4846-WHAFZ,1,United States,California,Whittier,90602,"33.972119, -118.020188",33.972119,-118.020188,Female,Yes,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,1,67,2793,Extra data charges,2868.15,2868.15,3,0,956.0500000000001,-91.99832644736153
5299-RULOA,1,United States,California,Whittier,90606,"33.976678, -118.065875",33.976678,-118.065875,Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,1,87,5998,Price too high,1064.65,1064.65,0,0,354.8833333333334,-71.7512797633025
0404-SWRVG,1,United States,California,La Habra,90631,"33.940619, -117.9513",33.940619,-117.9513,Male,No,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,1,76,4415,Product dissatisfaction,229.55,229.55,0,1,76.51666666666667,-2.7662818558048268
4412-YLTKF,1,United States,California,Pico Rivera,90660,"33.989524, -118.089299",33.989524,-118.089299,Female,Yes,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes,1,95,4638,Service dissatisfaction,2135.5,2135.5,2,0,711.8333333333334,-89.03535471786468
6207-WIOLX,1,United States,California,Avalon,90704,"33.391181, -118.421305",33.391181,-118.421305,Female,No,Yes,No,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes,1,99,4190,Lack of self-service on Website,1502.65,1502.65,2,0,500.8833333333334,-88.30066881842079
3091-FYHKI,1,United States,California,Harbor City,90710,"33.798266, -118.300237",33.798266,-118.300237,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,Yes,1,80,2301,Network reliability,35.45,35.45,0,1,11.816666666666668,200.0
2372-HWUHI,1,United States,California,Lakewood,90712,"33.840524, -118.148403",33.840524,-118.148403,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,Yes,1,76,2570,Don't know,81.25,81.25,0,1,27.083333333333332,63.75384615384617
0390-DCFDQ,1,United States,California,Los Alamitos,90720,"33.79499, -118.065591",33.79499,-118.065591,Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,Yes,1,76,3964,Don't know,70.45,70.45,0,1,23.483333333333334,200.0
4080-OGPJL,1,United States,California,San Pedro,90731,"33.736387, -118.284363",33.736387,-118.284363,Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,Yes,1,66,2662,Don't know,563.65,563.65,0,0,187.88333333333333,-62.1307549010911
2135-RXIHG,1,United States,California,Carson,90745,"33.822295, -118.26411",33.822295,-118.26411,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,Yes,1,73,2600,Poor expertise of online support,45.65,45.65,0,1,15.216666666666667,199.99999999999997
3874-EQOEP,1,United States,California,Long Beach,90804,"33.783047, -118.1486",33.783047,-118.1486,Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,Yes,1,94,2786,Poor expertise of phone support,655.5,655.5,0,0,218.5,-56.52173913043478
0867-MKZVY,1,United States,California,Altadena,91001,"34.196837, -118.142236",34.196837,-118.142236,Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,Yes,1,86,5719,Price too high,1592.35,1592.35,1,0,530.7833333333333,-84.47577479825416
3376-BMGFE,1,United States,California,Monrovia,91016,"34.1528, -118.000482",34.1528,-118.000482,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273,Yes,1,75,4287,Product dissatisfaction,273,273.0,0,0,91.0,-22.087912087912084
3445-HXXGF,1,United States,California,Sierra Madre,91024,"34.168686, -118.057505",34.168686,-118.057505,Male,Yes,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,Yes,1,100,5444,Service dissatisfaction,2651.2,2651.2,4,0,883.7333333333332,-94.87401931200966
1875-QIVME,1,United States,California,Tujunga,91042,"34.296574, -118.244839",34.296574,-118.244839,Female,No,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,Yes,1,83,4690,Lack of self-service on Website,242.8,242.8,0,1,80.93333333333334,28.99505766062603
0691-JVSYA,1,United States,California,Pasadena,91103,"34.167465, -118.165327",34.167465,-118.165327,Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,Yes,1,80,4328,Network reliability,5000.2,5000.2,4,0,1666.7333333333333,-94.30922763089477
2656-FMOKZ,1,United States,California,Pasadena,91106,"34.139402, -118.128658",34.139402,-118.128658,Female,Yes,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,Yes,1,99,5717,Limited range of services,1145.7,1145.7,1,0,381.90000000000003,-80.50536789735533
2070-FNEXE,1,United States,California,Pasadena,91107,"34.159007, -118.087353",34.159007,-118.087353,Female,Yes,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Yes,1,81,4419,Lack of affordable download/upload speed,503.6,503.6,0,0,167.86666666666667,-54.45790309769659
6317-YPKDH,1,United States,California,Glendale,91202,"34.167926, -118.267539",34.167926,-118.267539,Female,No,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,Yes,1,95,4534,Long distance charges,29.95,29.95,0,1,9.983333333333333,200.00000000000006
9367-WXLCH,1,United States,California,Glendale,91204,"34.136306, -118.26036",34.136306,-118.26036,Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Yes,1,86,2152,Extra data charges,662.65,662.65,0,0,220.88333333333333,-61.744510676827886
1918-ZBFQJ,1,United States,California,Glendale,91206,"34.162515, -118.203869",34.162515,-118.203869,Female,No,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,Yes,1,73,5142,Price too high,1111.65,1111.65,1,0,370.55,-78.61287275671299
1024-GUALD,1,United States,California,Glendale,91207,"34.182378, -118.262922",34.182378,-118.262922,Female,No,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,Yes,1,94,4851,Product dissatisfaction,24.8,24.8,0,1,8.266666666666667,199.99999999999994
2472-OVKUP,1,United States,California,Canoga Park,91304,"34.224377, -118.632656",34.224377,-118.632656,Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,531,Yes,1,94,2283,Service dissatisfaction,531,531.0,0,0,177.0,-48.58757062146893
1285-OKIPP,1,United States,California,Mission Hills,91345,"34.266389, -118.459744",34.266389,-118.459744,Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,Yes,1,98,3394,Lack of self-service on Website,79.9,79.9,0,1,26.633333333333336,200.0
7825-ECJRF,1,United States,California,Santa Clarita,91350,"34.502432, -118.41459",34.502432,-118.41459,Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,Yes,1,71,3764,Network reliability,1934.45,1934.45,1,0,644.8166666666667,-83.46816924707281
7841-TZDMQ,1,United States,California,Sun Valley,91352,"34.231053, -118.338307",34.231053,-118.338307,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,Yes,1,76,2667,Don't know,84.5,84.5,0,1,28.166666666666668,63.31360946745561
9408-SSNVZ,1,United States,California,Stevenson Ranch,91381,"34.364153, -118.615583",34.364153,-118.615583,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,Yes,1,67,2227,Don't know,268.35,268.35,0,0,89.45,-21.576299608719953
0742-MOABM,1,United States,California,Panorama City,91402,"34.223768, -118.445461",34.223768,-118.445461,Male,No,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,Yes,1,82,3394,Don't know,179.35,179.35,0,0,59.78333333333333,-16.28101477557848
2232-DMLXU,1,United States,California,Van Nuys,91411,"34.17847, -118.459472",34.17847,-118.459472,Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,Yes,1,81,3638,Poor expertise of online support,55.2,55.2,0,1,18.400000000000002,199.99999999999994
8937-RDTHP,1,United States,California,Burbank,91504,"34.213049, -118.317651",34.213049,-118.317651,Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,Yes,1,66,2484,Poor expertise of phone support,84.6,84.6,0,1,28.2,199.99999999999997
1251-KRREG,1,United States,California,North Hollywood,91601,"34.1692, -118.372498",34.1692,-118.372498,Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,Yes,1,81,2556,Price too high,114.1,114.1,0,1,38.03333333333333,43.03242769500439
0094-OIFMO,1,United States,California,North Hollywood,91605,"34.207295, -118.400022",34.207295,-118.400022,Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,Yes,1,85,5980,Product dissatisfaction,1120.3,1120.3,0,0,373.43333333333334,-74.56038561099705
9947-OTFQU,1,United States,California,Covina,91722,"34.097345, -117.906736",34.097345,-117.906736,Male,Yes,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,Yes,1,86,4616,Service dissatisfaction,1074.3,1074.3,1,0,358.09999999999997,-79.22368053616307
0322-YINQP,1,United States,California,Covina,91723,"34.084747, -117.886844",34.084747,-117.886844,Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,Yes,1,77,5687,Lack of self-service on Website,48.55,48.55,0,1,16.183333333333334,199.99999999999997
4629-NRXKX,1,United States,California,El Monte,91731,"34.079934, -118.046695",34.079934,-118.046695,Female,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,Yes,1,75,5687,Network reliability,147.15,147.15,0,1,49.050000000000004,43.52701325178389
9514-JDSKI,1,United States,California,El Monte,91732,"34.074492, -118.01462",34.074492,-118.01462,Male,Yes,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,Yes,1,65,5828,Limited range of services,40.2,40.2,0,1,13.4,200.00000000000003
4959-JOSRX,1,United States,California,La Puente,91744,"34.031441, -117.936436",34.031441,-117.936436,Female,No,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,Yes,1,99,4884,Lack of affordable download/upload speed,80.55,80.55,0,1,26.849999999999998,66.10800744878959
7273-TEFQD,1,United States,California,La Puente,91746,"34.038983, -117.991372",34.038983,-117.991372,Male,Yes,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,Yes,1,96,2314,Long distance charges,132.2,132.2,0,1,44.06666666666666,-6.618759455370645
3606-TWKGI,1,United States,California,Rowland Heights,91748,"33.976753, -117.897367",33.976753,-117.897367,Male,Yes,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,Yes,1,84,2494,Extra data charges,1364.3,1364.3,1,0,454.76666666666665,-76.49343985926849
6323-AYBRX,1,United States,California,Ontario,91762,"34.057256, -117.667677",34.057256,-117.667677,Male,No,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1099.6,Yes,1,83,5084,Price too high,1099.6,1099.6,4,0,366.5333333333333,-94.72080756638778
4385-GZQXV,1,United States,California,Ontario,91764,"34.074087, -117.605618",34.074087,-117.605618,Female,Yes,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,Yes,1,81,3810,Product dissatisfaction,1511.2,1511.2,1,0,503.73333333333335,-81.25
6366-ZGQGL,1,United States,California,Pomona,91766,"34.042286, -117.756106",34.042286,-117.756106,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,Yes,1,73,5087,Service dissatisfaction,24.8,24.8,0,1,8.266666666666667,199.99999999999994
5940-AHUHD,1,United States,California,Pomona,91768,"34.067932, -117.785168",34.067932,-117.785168,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,Yes,1,69,3338,Lack of self-service on Website,70.6,70.6,0,1,23.53333333333333,200.0
6432-TWQLB,1,United States,California,Rosemead,91770,"34.065108, -118.082791",34.065108,-118.082791,Male,No,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,Yes,1,80,3676,Network reliability,401.1,401.1,0,0,133.70000000000002,-36.125654450261784
4484-GLZOU,1,United States,California,San Dimas,91773,"34.102119, -117.815532",34.102119,-117.815532,Female,No,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,Yes,1,65,4839,Don't know,5624.85,5624.85,4,0,1874.95,-94.39718392490467
9512-UIBFX,1,United States,California,West Covina,91791,"34.061634, -117.893169",34.061634,-117.893169,Male,No,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,1779.95,Yes,1,68,4643,Don't know,1779.95,1779.95,1,0,593.3166666666667,-83.96303266945701
5583-SXDAG,1,United States,California,Alhambra,91803,"34.074736, -118.145959",34.074736,-118.145959,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.0,70,Yes,1,97,4094,Don't know,70,70.0,0,1,23.333333333333332,200.00000000000003
3488-PGMQJ,1,United States,California,Alpine,91901,"32.827184, -116.703729",32.827184,-116.703729,Male,Yes,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,Yes,1,80,4345,Poor expertise of online support,606.55,606.55,0,0,202.1833333333333,-63.152254554447275
3580-REOAC,1,United States,California,Bonita,91902,"32.67117, -117.00232",32.67117,-117.00232,Male,No,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,Yes,1,83,4061,Poor expertise of phone support,435.4,435.4,0,0,145.13333333333333,-69.0973817179605
7534-BFESC,1,United States,California,Boulevard,91905,"32.677097, -116.304991",32.677097,-116.304991,Male,Yes,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,Yes,1,98,2018,Price too high,1712.7,1712.7,2,0,570.9,-86.67016990716412
6390-DSAZX,1,United States,California,Guatay,91931,"32.857946, -116.561917",32.857946,-116.561917,Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,73.6,Yes,1,80,2565,Product dissatisfaction,73.6,73.6,0,1,24.53333333333333,200.0
8098-LLAZX,1,United States,California,Jacumba,91934,"32.649787, -116.2237",32.649787,-116.2237,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,Yes,1,85,3677,Service dissatisfaction,396.1,396.1,0,0,132.03333333333333,-27.707649583438524
0265-EDXBD,1,United States,California,Mount Laguna,91948,"32.830852, -116.444601",32.830852,-116.444601,Male,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,2303.35,Yes,1,69,4105,Lack of self-service on Website,2303.35,2303.35,2,0,767.7833333333333,-90.24464367117459
7563-BIUPC,1,United States,California,Borrego Springs,92004,"33.200369, -116.192313",33.200369,-116.192313,Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,415.55,Yes,1,69,5715,Network reliability,415.55,415.55,0,0,138.51666666666668,-41.812056310913256
2321-OMBXY,1,United States,California,Carlsbad,92009,"33.098018, -117.258203",33.098018,-117.258203,Female,No,Yes,No,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),80.3,3058.65,Yes,1,81,2071,Limited range of services,3058.65,3058.65,3,0,1019.5500000000001,-92.12397626403806
2840-XANRC,1,United States,California,Del Mar,92014,"32.948262, -117.256086",32.948262,-117.256086,Male,Yes,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,Yes,1,73,2212,Lack of affordable download/upload speed,2231.05,2231.05,2,0,743.6833333333334,-87.47450751888125
